n,s,Instance,as_is_filename,id,to_be_filename
160,20,2,instancia_160_20_2.txt,40,40.txt
200,5,2,instancia_200_5_2.txt,41,41.txt
200,10,2,instancia_200_10_2.txt,42,42.txt
200,15,2,instancia_200_15_2.txt,43,43.txt
200,20,2,instancia_200_20_2.txt,44,44.txt
240,5,2,instancia_240_5_2.txt,45,45.txt
240,10,2,instancia_240_10_2.txt,46,46.txt
240,15,2,instancia_240_15_2.txt,47,47.txt
240,20,2,instancia_240_20_2.txt,48,48.txt
40,5,3,instancia_40_5_3.txt,49,49.txt
40,10,3,instancia_40_10_3.txt,50,50.txt
40,15,3,instancia_40_15_3.txt,51,51.txt
40,20,3,instancia_40_20_3.txt,52,52.txt
80,5,3,instancia_80_5_3.txt,53,53.txt
80,10,3,instancia_80_10_3.txt,54,54.txt
80,15,3,instancia_80_15_3.txt,55,55.txt
80,20,3,instancia_80_20_3.txt,56,56.txt
120,5,3,instancia_120_5_3.txt,57,57.txt
120,10,3,instancia_120_10_3.txt,58,58.txt
120,15,3,instancia_120_15_3.txt,59,59.txt
120,20,3,instancia_120_20_3.txt,60,60.txt
160,5,3,instancia_160_5_3.txt,61,61.txt
160,10,3,instancia_160_10_3.txt,62,62.txt
160,15,3,instancia_160_15_3.txt,63,63.txt
160,20,3,instancia_160_20_3.txt,64,64.txt
200,5,3,instancia_200_5_3.txt,65,65.txt
200,10,3,instancia_200_10_3.txt,66,66.txt
200,15,3,instancia_200_15_3.txt,67,67.txt
200,20,3,instancia_200_20_3.txt,68,68.txt
240,5,3,instancia_240_5_3.txt,69,69.txt
240,10,3,instancia_240_10_3.txt,70,70.txt
240,15,3,instancia_240_15_3.txt,71,71.txt
240,20,3,instancia_240_20_3.txt,72,72.txt
40,5,4,instancia_40_5_4.txt,73,73.txt
40,10,4,instancia_40_10_4.txt,74,74.txt
40,15,4,instancia_40_15_4.txt,75,75.txt
40,20,4,instancia_40_20_4.txt,76,76.txt
80,5,4,instancia_80_5_4.txt,77,77.txt
80,10,4,instancia_80_10_4.txt,78,78.txt
80,15,4,instancia_80_15_4.txt,79,79.txt
80,20,4,instancia_80_20_4.txt,80,80.txt
120,5,4,instancia_120_5_4.txt,81,81.txt
120,10,4,instancia_120_10_4.txt,82,82.txt
120,15,4,instancia_120_15_4.txt,83,83.txt
120,20,4,instancia_120_20_4.txt,84,84.txt
160,5,4,instancia_160_5_4.txt,85,85.txt
160,10,4,instancia_160_10_4.txt,86,86.txt
160,15,4,instancia_160_15_4.txt,87,87.txt
160,20,4,instancia_160_20_4.txt,88,88.txt
200,5,4,instancia_200_5_4.txt,89,89.txt
200,10,4,instancia_200_10_4.txt,90,90.txt
200,15,4,instancia_200_15_4.txt,91,91.txt
200,20,4,instancia_200_20_4.txt,92,92.txt
240,5,4,instancia_240_5_4.txt,93,93.txt
240,10,4,instancia_240_10_4.txt,94,94.txt
240,15,4,instancia_240_15_4.txt,95,95.txt
240,20,4,instancia_240_20_4.txt,96,96.txt
40,5,5,instancia_40_5_5.txt,97,97.txt
40,10,5,instancia_40_10_5.txt,98,98.txt
40,15,5,instancia_40_15_5.txt,99,99.txt
40,20,5,instancia_40_20_5.txt,100,100.txt
80,5,5,instancia_80_5_5.txt,101,101.txt
80,10,5,instancia_80_10_5.txt,102,102.txt
80,15,5,instancia_80_15_5.txt,103,103.txt
80,20,5,instancia_80_20_5.txt,104,104.txt
120,5,5,instancia_120_5_5.txt,105,105.txt
120,10,5,instancia_120_10_5.txt,106,106.txt
120,15,5,instancia_120_15_5.txt,107,107.txt
120,20,5,instancia_120_20_5.txt,108,108.txt
160,5,5,instancia_160_5_5.txt,109,109.txt
160,10,5,instancia_160_10_5.txt,110,110.txt
160,15,5,instancia_160_15_5.txt,111,111.txt
160,20,5,instancia_160_20_5.txt,112,112.txt
200,5,5,instancia_200_5_5.txt,113,113.txt
200,10,5,instancia_200_10_5.txt,114,114.txt
200,15,5,instancia_200_15_5.txt,115,115.txt
200,20,5,instancia_200_20_5.txt,116,116.txt
240,5,5,instancia_240_5_5.txt,117,117.txt
240,10,5,instancia_240_10_5.txt,118,118.txt
240,15,5,instancia_240_15_5.txt,119,119.txt
240,20,5,instancia_240_20_5.txt,120,120.txt
40,5,6,instancia_40_5_6.txt,121,121.txt
40,10,6,instancia_40_10_6.txt,122,122.txt
40,15,6,instancia_40_15_6.txt,123,123.txt
40,20,6,instancia_40_20_6.txt,124,124.txt
80,5,6,instancia_80_5_6.txt,125,125.txt
80,10,6,instancia_80_10_6.txt,126,126.txt
80,15,6,instancia_80_15_6.txt,127,127.txt
80,20,6,instancia_80_20_6.txt,128,128.txt
120,5,6,instancia_120_5_6.txt,129,129.txt
120,10,6,instancia_120_10_6.txt,130,130.txt
120,15,6,instancia_120_15_6.txt,131,131.txt
120,20,6,instancia_120_20_6.txt,132,132.txt
160,5,6,instancia_160_5_6.txt,133,133.txt
160,10,6,instancia_160_10_6.txt,134,134.txt
160,15,6,instancia_160_15_6.txt,135,135.txt
160,20,6,instancia_160_20_6.txt,136,136.txt
200,5,6,instancia_200_5_6.txt,137,137.txt
200,10,6,instancia_200_10_6.txt,138,138.txt
200,15,6,instancia_200_15_6.txt,139,139.txt
200,20,6,instancia_200_20_6.txt,140,140.txt
240,5,6,instancia_240_5_6.txt,141,141.txt
240,10,6,instancia_240_10_6.txt,142,142.txt
240,15,6,instancia_240_15_6.txt,143,143.txt
240,20,6,instancia_240_20_6.txt,144,144.txt
40,5,7,instancia_40_5_7.txt,145,145.txt
40,10,7,instancia_40_10_7.txt,146,146.txt
40,15,7,instancia_40_15_7.txt,147,147.txt
40,20,7,instancia_40_20_7.txt,148,148.txt
80,5,7,instancia_80_5_7.txt,149,149.txt
80,10,7,instancia_80_10_7.txt,150,150.txt
80,15,7,instancia_80_15_7.txt,151,151.txt
80,20,7,instancia_80_20_7.txt,152,152.txt
120,5,7,instancia_120_5_7.txt,153,153.txt
120,10,7,instancia_120_10_7.txt,154,154.txt
120,15,7,instancia_120_15_7.txt,155,155.txt
120,20,7,instancia_120_20_7.txt,156,156.txt
160,5,7,instancia_160_5_7.txt,157,157.txt
160,10,7,instancia_160_10_7.txt,158,158.txt
160,15,7,instancia_160_15_7.txt,159,159.txt
160,20,7,instancia_160_20_7.txt,160,160.txt
200,5,7,instancia_200_5_7.txt,161,161.txt
200,10,7,instancia_200_10_7.txt,162,162.txt
200,15,7,instancia_200_15_7.txt,163,163.txt
200,20,7,instancia_200_20_7.txt,164,164.txt
240,5,7,instancia_240_5_7.txt,165,165.txt
240,10,7,instancia_240_10_7.txt,166,166.txt
240,15,7,instancia_240_15_7.txt,167,167.txt
240,20,7,instancia_240_20_7.txt,168,168.txt
40,5,8,instancia_40_5_8.txt,169,169.txt
40,10,8,instancia_40_10_8.txt,170,170.txt
40,15,8,instancia_40_15_8.txt,171,171.txt
40,20,8,instancia_40_20_8.txt,172,172.txt
80,5,8,instancia_80_5_8.txt,173,173.txt
80,10,8,instancia_80_10_8.txt,174,174.txt
80,15,8,instancia_80_15_8.txt,175,175.txt
80,20,8,instancia_80_20_8.txt,176,176.txt
120,5,8,instancia_120_5_8.txt,177,177.txt
120,10,8,instancia_120_10_8.txt,178,178.txt
120,15,8,instancia_120_15_8.txt,179,179.txt
120,20,8,instancia_120_20_8.txt,180,180.txt
160,5,8,instancia_160_5_8.txt,181,181.txt
160,10,8,instancia_160_10_8.txt,182,182.txt
160,15,8,instancia_160_15_8.txt,183,183.txt
160,20,8,instancia_160_20_8.txt,184,184.txt
200,5,8,instancia_200_5_8.txt,185,185.txt
200,10,8,instancia_200_10_8.txt,186,186.txt
200,15,8,instancia_200_15_8.txt,187,187.txt
200,20,8,instancia_200_20_8.txt,188,188.txt
240,5,8,instancia_240_5_8.txt,189,189.txt
240,10,8,instancia_240_10_8.txt,190,190.txt
240,15,8,instancia_240_15_8.txt,191,191.txt
240,20,8,instancia_240_20_8.txt,192,192.txt
40,5,9,instancia_40_5_9.txt,193,193.txt
40,10,9,instancia_40_10_9.txt,194,194.txt
40,15,9,instancia_40_15_9.txt,195,195.txt
40,20,9,instancia_40_20_9.txt,196,196.txt
80,5,9,instancia_80_5_9.txt,197,197.txt
80,10,9,instancia_80_10_9.txt,198,198.txt
80,15,9,instancia_80_15_9.txt,199,199.txt
80,20,9,instancia_80_20_9.txt,200,200.txt
120,5,9,instancia_120_5_9.txt,201,201.txt
120,10,9,instancia_120_10_9.txt,202,202.txt
120,15,9,instancia_120_15_9.txt,203,203.txt
120,20,9,instancia_120_20_9.txt,204,204.txt
160,5,9,instancia_160_5_9.txt,205,205.txt
160,10,9,instancia_160_10_9.txt,206,206.txt
160,15,9,instancia_160_15_9.txt,207,207.txt
160,20,9,instancia_160_20_9.txt,208,208.txt
200,5,9,instancia_200_5_9.txt,209,209.txt
200,10,9,instancia_200_10_9.txt,210,210.txt
200,15,9,instancia_200_15_9.txt,211,211.txt
200,20,9,instancia_200_20_9.txt,212,212.txt
240,5,9,instancia_240_5_9.txt,213,213.txt
240,10,9,instancia_240_10_9.txt,214,214.txt
240,15,9,instancia_240_15_9.txt,215,215.txt
240,20,9,instancia_240_20_9.txt,216,216.txt
40,5,10,instancia_40_5_10.txt,217,217.txt
40,10,10,instancia_40_10_10.txt,218,218.txt
40,15,10,instancia_40_15_10.txt,219,219.txt
40,20,10,instancia_40_20_10.txt,220,220.txt
80,5,10,instancia_80_5_10.txt,221,221.txt
80,10,10,instancia_80_10_10.txt,222,222.txt
80,15,10,instancia_80_15_10.txt,223,223.txt
80,20,10,instancia_80_20_10.txt,224,224.txt
120,5,10,instancia_120_5_10.txt,225,225.txt
120,10,10,instancia_120_10_10.txt,226,226.txt
120,15,10,instancia_120_15_10.txt,227,227.txt
120,20,10,instancia_120_20_10.txt,228,228.txt
160,5,10,instancia_160_5_10.txt,229,229.txt
160,10,10,instancia_160_10_10.txt,230,230.txt
160,15,10,instancia_160_15_10.txt,231,231.txt
160,20,10,instancia_160_20_10.txt,232,232.txt
200,5,10,instancia_200_5_10.txt,233,233.txt
200,10,10,instancia_200_10_10.txt,234,234.txt
200,15,10,instancia_200_15_10.txt,235,235.txt
200,20,10,instancia_200_20_10.txt,236,236.txt
240,5,10,instancia_240_5_10.txt,237,237.txt
240,10,10,instancia_240_10_10.txt,238,238.txt
240,15,10,instancia_240_15_10.txt,239,239.txt
240,20,10,instancia_240_20_10.txt,240,240.txt
